WKT	thematic	mkey	osmtype	osm_id	lat	lon	amenity	name	name:en	name:fr	operator	operator:type	private	address	addr:housenumber	addr:street	addr:city	building	building:levels	building:material	building:condition	building:status	note	layer	other_tags
"POINT (15.3514288 -4.4030295)"	Education	amenity=school	n	"5767675605"	-4.40303	15.351429	school	Ecole																	"""name""=>""Ecole"", ""amenity""=>""school"""
"POINT (27.1895278 -3.4607361)"	Education	amenity=school	n	"1235003548"	-3.460736	27.189528	school	Ecole primaire Penekusu																	"""name""=>""Ecole primaire Penekusu"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/03/04"""
"MULTIPOLYGON (((19.0954741 -5.7037327,19.0950553 -5.7032675,19.0955879 -5.7028913,19.0958481 -5.7033282,19.0954741 -5.7037327)))"	Education	amenity=school	w	"601740649"	-5.703305	19.095473	school																		"""amenity""=>""school"""
"POINT (24.5024697 -6.1258225)"	Education	amenity=school	n	"1213160170"	-6.125823	24.50247	school	Ecole primaire Tuendeyi																	"""name""=>""Ecole primaire Tuendeyi"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"""
"POINT (29.2513056 -4.1884444)"	Education	amenity=school	n	"1229712761"	-4.188444	29.251306	school	Ecole primaire Yungu																	"""name""=>""Ecole primaire Yungu"", ""source""=>""GPS;www.rgc.cd"", ""amenity""=>""school"", ""source:date""=>""2006/02/01"""
"POINT (29.5015517 0.6547183)"	Education	amenity=school	n	"7060056104"	0.654718	29.501552	school	Ecole Primaire Mbau																	"""name""=>""Ecole Primaire Mbau"", ""amenity""=>""school"", ""school:FR""=>""primaire"""
"POINT (17.9022734 -0.7537222)"	Education	amenity=school	n	"5811120406"	-0.753722	17.902273	school	EP Bokonda				public													"""name""=>""EP Bokonda"", ""source""=>""USAID"", ""amenity""=>""school"", ""operator:type""=>""public"", ""is_in:educ_level6""=>""Bikoro"", ""is_in:admin_level4""=>""Equateur"", ""is_in:admin_level6""=>""Bikoro"", ""is_in:admin_level7""=>""Lac Ntomba"""
"POINT (17.2611111 -3.4369722)"	Education	amenity=school	n	"1234983041"	-3.436972	17.261111	school	Ecole primaire Monkana																	"""name""=>""Ecole primaire Monkana"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"""
"POINT (28.1148389 -3.2828806)"	Education	amenity=school	n	"1235017304"	-3.282881	28.114839	school	Ecole secondaire Inst Kabisa																	"""name""=>""Ecole secondaire Inst Kabisa"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/21"""
"MULTIPOLYGON (((15.3565492 -4.3630906,15.3566243 -4.3629823,15.3566846 -4.3630239,15.3566095 -4.3631322,15.3565492 -4.3630906)))"	Education	amenity=school	w	"677040614"	-4.363057	15.356617	school	Collége Sante Élisabeth							"24"	Rails	Kinshasa	yes		brick	average				"""name""=>""Collége Sante Élisabeth"", ""amenity""=>""school"", ""building""=>""yes"", ""addr:city""=>""Kinshasa"", ""addr:street""=>""Rails"", ""addr:housenumber""=>""24"", ""building:material""=>""brick"", ""building:condition""=>""average"", ""is_in:admin_level7""=>""Limete"", ""is_in:admin_level8""=>""Ndanu"""
"POINT (15.3747688 -4.3986153)"	Education	amenity=school	n	"4796862506"	-4.398615	15.374769	school	Ecole Masamba																	"""name""=>""Ecole Masamba"", ""source""=>""MSF survey 2016"", ""amenity""=>""school"""
"POINT (15.3572137 -4.3930423)"	Education	amenity=school	n	"5768199852"	-4.393042	15.357214	school	Kangudi																	"""name""=>""Kangudi"", ""amenity""=>""school"""
"POINT (29.4031067 -0.0112533)"	Education	amenity=school	n	"6435423103"	-0.011253	29.403107	school	INSTITUT KAVANDA																	"""name""=>""INSTITUT KAVANDA"", ""amenity""=>""school"""
"POINT (26.6834222 -3.5849056)"	Education	amenity=school	n	"1232767081"	-3.584906	26.683422	school	Ecole primaire Matabisi																	"""name""=>""Ecole primaire Matabisi"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/23"""
"POINT (15.3164113 -4.411035)"	Education	amenity=school	n	"5241592813"	-4.411035	15.316411	school	Collège Méthode Daniel			Collège														"""name""=>""Collège Méthode Daniel"", ""amenity""=>""school"", ""operator""=>""Collège"", ""wheelchair""=>""yes"""
"MULTIPOLYGON (((27.4844102 2.0911695,27.4858198 2.091687,27.4863184 2.0901345,27.4850526 2.0896746,27.4844102 2.0911695)))"	Education	amenity=school	w	"618343111"	2.090686	27.485393	school																		"""amenity""=>""school"""
"POINT (28.8766944 -4.1285748)"	Education	amenity=school	n	"5294440368"	-4.128575	28.876694	school	École primaire Salumu																	"""name""=>""École primaire Salumu"", ""source""=>""MSFsurvey"", ""amenity""=>""school"", ""source:date""=>""2017-07"", ""is_in:village""=>""Asonge"""
"MULTIPOLYGON (((29.0943867 -4.3364081,29.0944404 -4.3363702,29.0945568 -4.3365343,29.0945031 -4.3365722,29.0943867 -4.3364081)))"	Education	amenity=school	w	"424497459"	-4.336471	29.094472	school	École War Child										yes							"""name""=>""École War Child"", ""source""=>""MSFsurvey"", ""amenity""=>""school"", ""building""=>""yes"", ""source:date""=>""2017-07"", ""is_in:village""=>""Nemba 1"""
"POINT (29.48022 0.48984)"	Education	amenity=school	n	"6477793572"	0.48984	29.48022	school	ECOLE PRIMAIRE VIRUNGA																	"""name""=>""ECOLE PRIMAIRE VIRUNGA"", ""amenity""=>""school"", ""school:FR""=>""primaire"""
"POINT (25.7453611 -10.7811111)"	Education	amenity=school	n	"1197334805"	-10.781111	25.745361	school	Ecole primaire Mwongo																	"""name""=>""Ecole primaire Mwongo"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"""
"POINT (15.2165556 -4.3581111)"	Education	amenity=school	n	"1234974049"	-4.358111	15.216556	school	Ecole primaire Kuvuna																	"""name""=>""Ecole primaire Kuvuna"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"""
"POINT (29.7761342 -7.0462996)"	Education	amenity=school	n	"1226550710"	-7.0463	29.776134	school	École primaire Regeza																	"""name""=>""École primaire Regeza"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2009/08/08"""
"POINT (15.2639928 -4.3510783)"	Education	amenity=school	n	"5329686124"	-4.351078	15.263993	school	Ecole Kama			Privée					Av. Benseke	Kinshasa								"""name""=>""Ecole Kama"", ""amenity""=>""school"", ""operator""=>""Privée"", ""addr:city""=>""Kinshasa"", ""wheelchair""=>""yes"", ""addr:street""=>""Av. Benseke"", ""addr:country""=>""CD"", ""addr:district""=>""Lukunga"", ""addr:province""=>""Kinshasa"", ""addr:subdistrict""=>""Kintambo"""
"POINT (28.8319444 -2.1781944)"	Education	amenity=school	n	"1238147799"	-2.178194	28.831944	school	Ecole primaire Mabigu																	"""name""=>""Ecole primaire Mabigu"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"""
"POINT (28.9480556 -3.0228056)"	Education	amenity=school	n	"1237088049"	-3.022806	28.948056	school	Ecole primaire Bushuju																	"""name""=>""Ecole primaire Bushuju"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2006/02/01"""
"POINT (27.3006222 -2.5305306)"	Education	amenity=school	n	"1232765665"	-2.530531	27.300622	school	Ecole primaire Kimbondi																	"""name""=>""Ecole primaire Kimbondi"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/03"""
"POINT (15.3468463 -4.3414126)"	Education	amenity=school	n	"6115470311"	-4.341413	15.346846	school	College Royal																	"""name""=>""College Royal"", ""amenity""=>""school"""
"MULTIPOLYGON (((15.3893599 -4.4146937,15.3894567 -4.4146881,15.3894607 -4.4147563,15.3893639 -4.4147619,15.3893599 -4.4146937)))"	Education	amenity=school	w	"434322766"	-4.414725	15.38941	school	CS Chretien Balongi							"8"	Mobutu	Kinshasa	yes	"1"	concrete	poor				"""name""=>""CS Chretien Balongi"", ""amenity""=>""school"", ""building""=>""yes"", ""addr:city""=>""Kinshasa"", ""addr:street""=>""Mobutu"", ""building:levels""=>""1"", ""addr:housenumber""=>""8"", ""building:material""=>""concrete"", ""building:condition""=>""poor"", ""is_in:admin_level7""=>""Kimbanseke"""
"POINT (28.6481111 -2.0677194)"	Education	amenity=school	n	"1238147400"	-2.067719	28.648111	school	Ecole primaire Nyalisi																	"""name""=>""Ecole primaire Nyalisi"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/15"""
"POINT (15.2158611 -4.3642222)"	Education	amenity=school	n	"1234974031"	-4.364222	15.215861	school	Ecole primaire Lukunga																	"""name""=>""Ecole primaire Lukunga"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2010/04/21"""
"POINT (28.8806389 -4.1088333)"	Education	amenity=school	n	"1229713194"	-4.108833	28.880639	school	Ecole primaire Kishula																	"""name""=>""Ecole primaire Kishula"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2006/02/01"""
"POINT (26.6518333 -2.5833139)"	Education	amenity=school	n	"1232765789"	-2.583314	26.651833	school	Ecole secondaire Inst Lumande																	"""name""=>""Ecole secondaire Inst Lumande"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/28"""
"POINT (15.3509232 -4.3424457)"	Education	amenity=school	n	"6109085489"	-4.342446	15.350923	school	Saint Kizito																	"""name""=>""Saint Kizito"", ""amenity""=>""school"", ""wheelchair""=>""no"""
"POINT (28.9451556 -1.9231444)"	Education	amenity=school	n	"1238147313"	-1.923144	28.945156	school	Ecole secondaire Inst Rehema																	"""name""=>""Ecole secondaire Inst Rehema"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/12/17"""
"POINT (27.4643551 -11.7136807)"	Education	amenity=school	n	"2851030523"	-11.713681	27.464355	school	College																	"""name""=>""College"", ""amenity""=>""school"""
"POINT (28.0875899 -3.3516216)"	Education	amenity=school	n	"1235017666"	-3.351622	28.08759	school	Ecole primaire Lutulilo																	"""name""=>""Ecole primaire Lutulilo"", ""source""=>""GPS"", ""amenity""=>""school"", ""source_ref""=>""www.rgc.cd"", ""attribution""=>""«Ces données géographiques proviennent du Référentiel Géographique Commun (www.rgc.cd).»"", ""source:date""=>""2008/11/25"""
"MULTIPOLYGON (((15.3598715 -4.3676934,15.3600089 -4.3677021,15.3600024 -4.3678053,15.3599342 -4.3678009,15.3599326 -4.3678261,15.3598763 -4.3678226,15.3598781 -4.3677945,15.3598651 -4.3677937,15.3598715 -4.3676934)))"	Education	amenity=school	w	"677096789"	-4.367758	15.359934	school	Complexe Scolaire Umani								Ndjoku	Kinshasa	school		brick	poor				"""name""=>""Complexe Scolaire Umani"", ""amenity""=>""school"", ""building""=>""school"", ""addr:city""=>""Kinshasa"", ""addr:street""=>""Ndjoku"", ""building:material""=>""brick"", ""building:condition""=>""poor"", ""is_in:admin_level7""=>""Limete"", ""is_in:admin_level8""=>""Ndanu"""
"POINT (15.3387889 -4.3352559)"	Education	amenity=school	n	"6041516468"	-4.335256	15.338789	school	complexe scolaire serena																	"""name""=>""complexe scolaire serena"", ""amenity""=>""school"""
"POINT (18.2500088 0.0166131)"	Education	amenity=school	n	"5731453794"	0.016613	18.250009	school	EP Ngale				religious													"""name""=>""EP Ngale"", ""source""=>""USAID"", ""amenity""=>""school"", ""operator:type""=>""religious"", ""is_in:educ_level6""=>""Mbandaka 1"", ""is_in:admin_level4""=>""Equateur"", ""is_in:admin_level6""=>""Mbandaka"", ""is_in:admin_level7""=>""Wangata"""
