latitude,longitude,rwi,error
11.0382553,14.3591309,-0.461,0.362
4.5326183,14.6228027,-0.683,0.362
4.1163273,12.6672363,-0.313,0.353
4.6202287,11.2390137,-0.273,0.383
8.5267005,14.1174316,-0.456,0.338
4.2039864,13.5461426,-0.956,0.354
3.5901776,12.1179199,-0.802,0.351
5.6487856,9.9206543,-0.023,0.351
11.2753865,14.9743652,-0.390,0.371
5.9329721,11.2609863,-0.149,0.350
3.3489215,12.4255371,-0.749,0.351
5.0581143,9.1516113,-0.705,0.355
6.0859354,10.4040527,-0.744,0.350
6.4790672,10.6457520,-0.778,0.355
3.5243866,11.3269043,-0.835,0.407
7.4169421,13.7438965,-0.432,0.375
5.9548266,10.0524902,0.365,0.417
5.8455454,10.9533691,-0.371,0.349
4.5764249,9.1076660,-0.149,0.433
7.7218784,12.3596191,-0.902,0.357
3.9629009,11.2609863,-0.034,0.367
3.1514858,11.3488770,-0.052,0.363
12.3507339,14.9084473,-0.504,0.339
12.2004420,14.6667480,-0.188,0.323
3.7217452,11.6564941,0.153,0.448
9.5682508,13.5241699,-0.608,0.359
10.1094859,13.9196777,-0.510,0.348
6.6755194,10.0744629,-0.485,0.372
11.1676236,13.8977051,-0.266,0.328
4.9486696,13.3264160,0.043,0.500
5.6050520,10.4479980,-0.461,0.356
3.1953637,11.5686035,-0.025,0.370
4.1820725,11.5026855,-0.331,0.428
4.4230904,14.7985840,-0.459,0.357
6.1296313,11.5466309,0.368,0.353
7.0027636,10.1403809,-0.461,0.357
4.2478122,14.5788574,-0.479,0.365
5.9111167,10.6896973,-0.323,0.352
6.3043786,9.6130371,-0.386,0.357
7.4823037,13.5021973,-0.879,0.353
4.4230904,11.4587402,-0.112,0.439
7.3951528,12.9968262,0.211,0.431
6.5663889,10.8215332,-0.344,0.345
7.2861900,14.0954590,-0.172,0.344
6.9591440,10.5358887,-0.200,0.342
5.9985331,9.1516113,-0.619,0.341
4.4449973,11.4147949,-0.427,0.361
4.5107140,14.6008301,-0.661,0.364
4.8829942,9.4592285,-0.279,0.346
6.9155204,11.7224121,-0.576,0.345
4.8829942,11.4147949,-0.253,0.376
3.8752158,12.4255371,-0.689,0.349
2.3833455,9.9426270,-0.274,0.371
10.4770087,14.9743652,-0.482,0.333
6.5663889,10.4479980,-0.821,0.366
7.2861900,14.2932129,-0.184,0.338
6.0859354,10.4699707,-0.461,0.483
4.7516240,12.4475098,-0.138,0.360
6.8500775,13.2604980,-0.094,0.368
5.5175751,10.9533691,-0.075,0.347
2.0759616,15.3039551,-0.983,0.350
8.4832384,13.2824707,-0.687,0.385
6.0203850,10.7775879,0.125,0.362
9.1563324,13.8098145,-0.408,0.342
6.1733235,9.5251465,-0.312,0.340
4.6421296,14.0734863,-0.359,0.353
10.6282159,14.3591309,1.023,0.467
10.8656756,13.7658691,-0.433,0.358
5.7799663,11.0632324,-0.250,0.365
6.4354006,10.6018066,-0.395,0.349
6.4135660,9.8986816,-0.115,0.346
6.2606973,10.2502441,-0.823,0.375
6.9155204,13.2824707,-0.501,0.345
6.3480564,10.6677246,-0.516,0.350
3.8532931,11.2829590,-0.076,0.401
6.2170122,14.4030762,-0.480,0.351
5.3644596,11.6564941,-0.641,0.347
5.3425828,10.0524902,-0.112,0.374
7.4169421,13.6779785,-0.825,0.364
10.0878536,13.6340332,-0.193,0.337
6.3043786,10.5139160,-0.526,0.360
12.5652867,14.6447754,-0.372,0.345
6.3043786,14.5129395,-0.497,0.365
10.4337931,14.2272949,-0.403,0.358
2.2296616,11.1071777,-0.775,0.367
4.9048867,14.4909668,-0.798,0.385
4.3354564,11.5466309,-0.384,0.359
6.3043786,11.1071777,-0.427,0.350
12.6510579,14.4030762,-0.550,0.329
7.2643942,13.8537598,-0.334,0.368
10.2824911,13.7658691,0.079,0.337
10.8009324,13.9855957,-0.613,0.340
3.4366581,11.2609863,-0.392,0.364
3.8313699,11.4807129,1.296,0.537
8.3745618,13.5900879,-0.555,0.360
7.2425974,11.8542480,-0.242,0.342
10.1743738,13.7658691,-0.574,0.340
6.9155204,13.6120605,-0.696,0.363
4.5107140,9.7668457,-0.305,0.354
8.8959258,13.5681152,-0.372,0.343
3.6340356,10.3601074,-0.962,0.354
3.4805234,11.5246582,-0.283,0.411
6.1733235,10.0744629,-0.363,0.412
2.4492049,10.4919434,-0.183,0.347
9.8930985,13.9196777,-0.396,0.345
3.2831139,12.1838379,-0.613,0.355
5.5613152,10.2941895,0.049,0.426
4.0944111,9.6350098,1.329,0.542
4.0505767,11.5466309,0.452,0.476
10.8656756,14.7326660,-0.417,0.351
6.3043786,10.0964355,-0.595,0.359
6.4354006,9.8767090,-0.420,0.344
4.6202287,12.5354004,-0.453,0.364
4.6421296,9.4152832,0.742,0.544
6.3043786,13.4582520,-0.616,0.370
4.5545219,11.2829590,-0.226,0.382
5.0362268,9.7448730,-0.409,0.381
5.6487856,10.3161621,-0.154,0.392
7.0027636,13.4362793,-0.553,0.361
6.3917304,13.5241699,-0.664,0.382
7.0463790,14.4250488,0.228,0.487
3.1953637,11.8103027,-0.362,0.362
10.3689583,13.8977051,-0.451,0.338
8.4615055,12.4035645,-0.440,0.344
10.1311167,14.4470215,-0.467,0.382
5.2113056,14.5568848,-0.181,0.394
6.1077838,10.9313965,0.267,0.376
3.7875216,11.1071777,-0.707,0.381
9.3081485,14.2492676,-0.343,0.345
2.6906608,11.8103027,-0.952,0.340
6.1951683,10.7336426,-0.554,0.354
4.7735207,14.5129395,-0.577,0.379
4.5545219,11.6125488,-1.002,0.360
6.0640861,10.2282715,-0.562,0.407
4.6859294,11.5246582,-1.007,0.375
3.5243866,11.4587402,-0.326,0.387
7.0899903,12.5134277,-0.419,0.348
6.6318701,12.7990723,-0.631,0.351
5.9329721,13.3264160,-0.301,0.364
5.5394455,10.4260254,-0.264,0.390
6.7846256,9.9426270,-0.845,0.363
5.1675404,11.3269043,-0.509,0.352
4.1382430,14.8645020,-0.691,0.364
10.0229482,14.8425293,-0.570,0.332
4.2697242,11.5466309,-0.335,0.381
4.7078283,9.5471191,-0.352,0.407
4.2916356,10.8215332,-0.458,0.357
3.8752158,11.8103027,-0.484,0.348
10.8225151,13.6560059,-0.536,0.339
10.6714043,14.6447754,-0.254,0.333
4.1820725,14.9963379,-0.229,0.472
4.0944111,10.5358887,-0.448,0.392
10.4337931,14.3591309,-0.705,0.338
10.9304048,13.8098145,-0.476,0.341
10.5634219,13.9636230,-0.212,0.375
9.6115820,13.5241699,-0.324,0.340
5.4957038,11.1950684,-0.756,0.352
8.3962996,13.6999512,-0.568,0.403
6.4790672,11.1730957,-0.623,0.342
2.6248138,11.0412598,-0.078,0.445
6.4790672,9.8547363,-0.324,0.344
5.7143797,11.2170410,-0.531,0.358
4.7078283,11.1291504,-0.329,0.385
10.7145865,14.8864746,-0.446,0.334
4.1820725,9.2834473,0.581,0.474
4.7954168,8.9099121,-0.186,0.366
8.5701576,12.5793457,-0.478,0.340
5.9985331,9.7009277,-0.159,0.367
3.6998186,11.5246582,0.325,0.432
6.4354006,10.0085449,-0.313,0.348
5.2331870,10.3601074,-0.021,0.361
3.7875216,11.5905762,0.213,0.422
12.4365763,14.8645020,-0.446,0.321
3.1734250,11.7663574,-0.039,0.371
10.6714043,14.3591309,-0.223,0.342
12.4151184,14.8425293,-0.687,0.325
4.1163273,11.8103027,-0.644,0.377
5.7799663,9.3713379,-0.078,0.371
3.8313699,11.2390137,-0.322,0.379
5.6050520,10.9973145,-0.343,0.366
4.1163273,12.7770996,-0.679,0.361
12.5009395,14.4909668,-0.318,0.332
5.5613152,10.7995605,-0.333,0.353
2.9320690,10.0085449,-0.969,0.381
8.9393399,12.9528809,-0.440,0.354
2.9759559,10.9753418,-0.253,0.377
6.6100440,11.0632324,-0.344,0.347
10.0662199,15.3039551,-0.128,0.327
10.8656756,15.0842285,-0.360,0.368
3.8094460,11.6345215,-0.227,0.393
3.2392398,11.2170410,-0.616,0.346
6.6318701,10.7556152,-0.561,0.348
5.1018870,9.9426270,0.970,0.495
4.1820725,12.9309082,-0.245,0.355
7.6565531,13.8977051,-0.870,0.343
4.6202287,14.5788574,-0.649,0.360
5.4738318,10.0964355,0.626,0.462
3.3050503,11.8322754,-0.431,0.372
3.7655967,13.3483887,-0.488,0.388
4.0724942,9.7229004,1.580,0.484
7.1553996,12.3596191,-0.182,0.339
6.1951683,10.2941895,-0.423,0.387
3.0856655,12.1838379,-0.268,0.370
10.5202184,15.0842285,-0.489,0.343
4.7954168,9.9426270,-0.799,0.374
6.4354006,10.9973145,-0.455,0.359
3.2173020,12.5354004,-0.535,0.342
6.8064439,14.2272949,-0.655,0.363
4.5326183,9.6130371,-0.085,0.432
10.4337931,15.2160645,-0.718,0.334
7.9830776,13.5681152,0.294,0.360
6.3917304,9.5910645,-0.369,0.354
2.3174830,10.9313965,-0.467,0.342
4.8829942,9.8547363,0.370,0.450
7.1772006,14.4030762,-0.275,0.344
5.4519589,9.5031738,-0.385,0.386
3.0637244,12.3596191,-0.447,0.343
6.5445599,12.7770996,-0.395,0.350
8.7004990,12.7331543,-0.518,0.353
6.8937071,13.5900879,-0.475,0.348
9.8714518,13.4362793,-0.724,0.354
9.3731925,13.5461426,-0.240,0.365
4.1163273,10.9753418,-0.733,0.373
7.9613173,13.5681152,-0.331,0.357
5.4300853,10.0305176,0.481,0.438
6.4354006,10.6457520,-0.230,0.355
3.1734250,12.1179199,-0.203,0.351
5.3644596,10.0085449,0.443,0.401
5.7799663,11.1511230,0.027,0.385
3.6778914,13.0847168,-0.958,0.344
6.5227299,11.5026855,-0.373,0.389
6.1514779,9.9645996,-0.355,0.359
5.6706511,10.8215332,-0.103,0.377
9.1780244,14.0295410,-0.828,0.337
9.9147437,13.2604980,-0.396,0.358
10.6929962,15.0622559,-0.588,0.345
3.5463174,12.2497559,-0.206,0.346
10.2392486,14.7546387,-0.601,0.351
6.5008990,10.7336426,-0.322,0.362
7.3515708,12.6892090,-0.309,0.361
7.4823037,13.9416504,-0.598,0.342
6.7628064,13.0847168,-0.272,0.364
3.9409805,11.7443848,-0.546,0.396
2.8003980,11.1071777,-0.723,0.353
5.0800010,14.2932129,0.057,0.368
2.6467632,15.3479004,-0.863,0.368
5.4957038,11.0632324,0.010,0.350
5.5613152,11.1071777,-0.269,0.351
7.4605176,13.2824707,-0.624,0.363
5.6269192,11.4367676,-0.423,0.349
6.5445599,10.2282715,-0.561,0.348
4.0286586,9.8107910,0.689,0.515
3.9848207,11.6345215,-0.478,0.394
3.1076060,10.4040527,-0.467,0.361
4.4888091,11.4147949,-0.914,0.378
5.5175751,10.7116699,-0.201,0.372
5.2550677,10.1843262,-0.537,0.349
3.1295462,11.7443848,-0.266,0.357
3.8971380,11.1071777,-0.656,0.497
4.5983271,11.0632324,-0.618,0.386
3.5682478,12.2497559,-0.305,0.348
6.3480564,14.3371582,-0.276,0.373
10.0445848,13.3483887,-0.215,0.334
5.3425828,10.2282715,-0.354,0.374
3.1295462,12.4035645,-0.316,0.343
3.1953637,10.8215332,-0.310,0.345
6.5008990,10.4699707,-0.675,0.353
2.4272521,14.0295410,-0.918,0.334
6.2606973,12.3156738,-0.942,0.347
6.5008990,13.2385254,-0.535,0.390
9.4165483,13.6340332,-0.572,0.369
10.6498109,13.6999512,-0.904,0.342
3.5024552,12.3156738,-0.547,0.346
6.3917304,11.1291504,-0.637,0.345
6.2825384,9.7448730,-0.336,0.377
6.5882169,12.0739746,-0.531,0.346
2.6028640,11.8981934,-0.424,0.340
2.9320690,10.8435059,-0.149,0.353
7.4387304,15.4357910,-0.557,0.338
12.4794869,14.5129395,-0.316,0.333
6.0203850,10.7556152,0.099,0.354
2.1857489,10.9973145,-0.348,0.335
7.6347758,13.8537598,-0.614,0.347
2.6467632,15.3698730,-0.754,0.368
5.7799663,9.9206543,-0.751,0.366
10.9951198,14.0515137,-0.324,0.346
2.9759559,15.2160645,-0.789,0.347
5.1894234,10.1403809,-0.362,0.369
4.9705600,10.5578613,-0.426,0.352
5.1456567,10.6237793,-0.375,0.386
7.0027636,11.9641113,-0.178,0.349
11.2538371,14.9523926,-0.026,0.350
3.7655967,11.6345215,0.067,0.410
10.9088300,14.1174316,0.046,0.365
5.8018269,10.4479980,-0.191,0.345
3.8313699,10.4479980,0.069,0.385
7.0245718,12.1179199,-0.569,0.348
6.0640861,10.4699707,0.304,0.409
7.6565531,14.4909668,-0.729,0.342
3.9848207,10.1184082,-0.651,0.414
9.4165483,13.8977051,-0.393,0.335
10.5634219,14.6887207,-0.605,0.341
12.0285754,14.9304199,0.041,0.328
3.5463174,12.5134277,-0.433,0.354
4.5545219,9.2614746,-0.300,0.403
6.3698938,10.7556152,-0.075,0.380
5.2331870,11.2829590,-0.734,0.353
6.3480564,10.8435059,-0.471,0.364
6.3917304,11.8103027,-0.317,0.350
7.3951528,13.8537598,-0.510,0.346
4.0286586,10.8435059,-0.588,0.384
